id;position;topic;question;public;answer;
1;1;Trauerfreundschaften;Was ist ein Trauerfreund?;1;Trauerfreunde sprechen sozusagen die gleiche Trauersprache, da Schicksalsschlag, momentane Lebensumstände und ihr Umgang mit der Trauer übereinstimmen, bzw. sich sehr ähneln. So ist der Austausch untereinander durch tiefes Verständnis füreinander geprägt. Wir wissen aus langjähriger Erfahrung, dass sich viele Trauernde von ihrem Umfeld nicht verstanden fühlen, wobei es eben auch schwer ist, etwas zu verstehen, was man selbst nicht genauso erlebt hat. Zudem möchten Trauernde oftmals niemandem „zur Last fallen“. Und versuchen ihre Trauer mit sich allein auszumachen, was das Einsamkeitsgefühl verstärkt. Ein Trauerfreund kann genau nachempfinden, wie es seinem Gegenüber geht. Mit deinem Trauerfreund wirst du dich auf Augenhöhe austauschen. In der Regel könnt ihr euch alles fragen und all das ansprechen, was euch bewegt.;
2;2;Trauerfreundschaften;Was versteht man unter „Matching“?;1;Der Begriff Matching wird in vielfältiger Weise verwendet. Vielleicht kennst du das Wort zum Beispiel aus der Partnervermittlung. Das perfekte Match ist dort jemand, der genau zu einer Person passt. Dabei werden die Angaben, die die Interessierten in dem Fragebogen machen, von einem Computerprogramm abgeglichen. Anschließend werden genau die Menschen einander zugeordnet, die die meisten Übereinstimmungen haben und daher zusammenpassen. Dahinter steht eine wissenschaftliche und sehr erfolgreiche Methode. Diese Methode haben wir mit viel Expertenwissen und Herz auf Trauernde spezifiziert. Allerdings geht es bei TrostHelden nicht darum einen Partner fürs Leben oder eine romantische Beziehung zu finden. Bei TrostHelden geht es darum, andere Trauernde mit dem gleichen Background zu finden, um in einen heilsamen 1:1-Austausch miteinander zu kommen.;
3;3;Trauerfreundschaften;Wie funktioniert die Trauerfreund-Suche genau?;1;Jeder Interessierte kann unseren fundierten Fragebogen erst einmal ganz unverbindlich, aber unter vollem Datenschutz, ausfüllen und somit Teil der TrostHelden-Community werden. Anhand deiner Angaben, im Abgleich mit der TrostHelden-Datenbank, machen wir dir Trauerfreund-Vorschläge. Nun kannst du dir, anonym, einen ersten Eindruck von möglichen Trauerfreunden machen, indem du dir in aller Ruhe die vorgeschlagenen Profile anschaust. Wenn du ein Gefühl für unser Angebot an dich bekommen hast und es dir zusagt, schließt du eine TrostHelden-Mitgliedschaft ab, um mit beliebig vielen anderen TrostHelden in Kontakt zu treten. <a href="https://www.trosthelden.de/mitgliedschaft">Hier</a> gelangst du zu unseren Mitgliedschaftsmöglichkeiten.;
4;4;Trauerfreundschaften;Kann ich mehrere Trauerfreunde haben?;1;Ja. Es kann interessant sein mit unterschiedlichen zu dir passenden Trostfreunden Kontakt zu haben, um dein Anliegen noch vielschichtiger betrachten zu können. Wir sind ja, auch wenn wir die gleichen Nenner haben, trotzdem Individuen.;
5;5;Trauerfreundschaften;Kann ich mich auf Diskretion verlassen?;1;Selbstverständlich. Die Sicherheit und der Schutz deiner persönlichen Daten hat für TrostHelden oberste Priorität. Nähere Informationen findest du in unserer <a href="https://www.trosthelden.de/datenschutz">Datenschutzerklärung</a>. Zudem besteht die Möglichkeit, dass TrostHelden-Mitglieder uns Fehlverhalten anderer User melden können (siehe auch unter "Profil melden" in den häufigen Fragen bei "Datenschutz").;
6;6;Trauerfreundschaften;Warum wollt ihr im Fragebogen soviel von mir wissen?;1;Damit wir euch sinnvoll und zueinander passend zusammenbringen können.<br><br>Der Fragebogen ist das pulsierende Herz von TrostHelden. Hier läuft alles zusammen: Das Expertenwissen der verschiedenen Bereiche, unsere jahrelange Erfahrung, die notwendige Technik des Matching-Verfahrens und all unser Herzblut. Nur durch die Beantwortung der Fragen und die Gewichtung ihrer Relevanz ergibt die weltweit einzigartige TrostHelden-Idee Sinn und hebt individuelle Trauerarbeit auf eine bisher kaum beachtete, aber absolut sinnvolle, Ebene.;
7;7;Trauerfreundschaften;Kann ich den Fragebogen ausfüllen ohne Mitglied zu sein?;1;Ja! Und du bekommst auch direkt nach dem Ausfüllen mögliche Trauerfreund-Vorschläge von uns. Hiermit möchten wir dir die Möglichkeit geben, ein Gefühl für unser Angebot an dich zu bekommen. Nach abgeschlossener Mitgliedschaft ist es dir dann möglich Kontakt aufzunehmen oder Anfragen an dich anzunehmen.;
8;8;Trauerfreundschaften;Kann ich einzelne Antworten im Fragebogen später nochmal ändern?;1;Nein, das ist technisch nicht möglich, da sich dadurch auch die Berechnungen des Matching-Systems ändern. Du kannst den Fragebogen aber in den Einstellungen unter „Fragebogen erneut ausfüllen“ komplett zurücksetzen und ihn dann nochmal ausfüllen.;
9;9;Trauerfreundschaften;Wie kommt es zum Kontakt?;1;Indem du TrostHelden-Mitglied wirst, kannst du mit beliebig vielen deiner vorgeschlagenen Trauerfreunde ganz einfach über dein Profil schriftlich Kontakt aufnehmen oder auch Kontaktanfragen annehmen. Wenn ein neues Mitglied zu dir passt, wird es dir auch gezeigt.;
10;10;Trauerfreundschaften;Wie gestaltet sich der Kontakt?;1;Schriftlich.Und nach eigenem Ermessen so anonym, wie du möchtest. Wie und ob ihr als Trauerfreunde außerhalb unserer Plattform miteinander in Kontakt tretet, liegt natürlich eigenverantwortlich bei euch.;
