"id";"created_at";"updated_at";"dimension";"answer_id_own";"answer_id_partner";"valuecode";"weight";"exclusion"
"1";NULL;NULL;"2";"1";"1";"1";;NULL
"2";NULL;NULL;"1";"2";"2";"1";;NULL
"3";NULL;NULL;"1";"3";"3";"1";;NULL
"4";NULL;NULL;"1";"4";"4";"1";;NULL
"5";NULL;NULL;"1";"5";"5";"1";;NULL
"6";NULL;NULL;"2";"6";"6";"1";;NULL
"7";NULL;NULL;"1";"7";"7";"1";;NULL
"8";NULL;NULL;"1";"8";"8";"1";;NULL
"9";NULL;NULL;"1";"9";"9";"1";;NULL
"10";NULL;NULL;"1";"10";"10";"1";;NULL
"11";NULL;NULL;"2";"11";"11";"1";;NULL
"12";NULL;NULL;"1";"12";"12";"1";;NULL
"13";NULL;NULL;"1";"13";"13";"1";;NULL
"14";NULL;NULL;"1";"14";"14";"1";;NULL
"15";NULL;NULL;"1";"15";"15";"1";;NULL
"16";NULL;NULL;"2";"16";"16";"1";;NULL
"17";NULL;NULL;"1";"17";"17";"1";;NULL
"18";NULL;NULL;"1";"18";"18";"1";;NULL
"19";NULL;NULL;"1";"19";"19";"1";;NULL
"20";NULL;NULL;"1";"20";"20";"1";;NULL
"21";NULL;NULL;"1";"21";"21";"1";;NULL
"22";NULL;NULL;"1";"22";"22";"1";;NULL
"23";NULL;NULL;"2";"23";"23";"1";;NULL
"24";NULL;NULL;"1";"24";"24";"1";;NULL
"25";NULL;NULL;"1";"25";"25";"1";;NULL
"26";NULL;NULL;"1";"26";"26";"1";;NULL
"27";NULL;NULL;"1";"27";"27";"1";;NULL
"28";NULL;NULL;"1";"28";"28";"1";;NULL
"29";NULL;NULL;"1";"29";"29";"1";;NULL
"30";NULL;NULL;"1";"30";"30";"1";;NULL
"31";NULL;NULL;"1";"31";"31";"1";;NULL
"32";NULL;NULL;"1";"32";"32";"1";;NULL
"33";NULL;NULL;"1";"33";"33";"1";;NULL
"34";NULL;NULL;"1";"34";"34";"1";;NULL
"35";NULL;NULL;"2";"35";"35";"1";;NULL
"36";NULL;NULL;"1";"36";"36";"1";;NULL
"37";NULL;NULL;"1";"37";"37";"1";;NULL
"38";NULL;NULL;"1";"38";"38";"1";;NULL
"39";NULL;NULL;"1";"39";"39";"1";;NULL
"40";NULL;NULL;"1";"40";"40";"1";;NULL
"41";NULL;NULL;"3";"42";"42";"1";;NULL
