"id";"rank";"dim1";"dim2";"dim3";"dim4";"dim5"
"1";"1";"1";"1";"1";"1";"1"
"2";"2";"1";"1";"1";"2";"1"
"3";"3";"1";"1";"1";"0";"1"
"4";"4";"1";"1";"1";"0";"2"
"5";"5";"1";"1";"0";"1";"1"
"6";"6";"1";"1";"0";"2";"1"
"7";"7";"1";"1";"0";"0";"1"
"8";"8";"1";"1";"0";"0";"2"
"9";"9";"2";"1";"1";"1";"1"
"10";"10";"2";"1";"1";"2";"1"
"11";"11";"2";"1";"1";"0";"1"
"12";"12";"2";"1";"1";"0";"2"
"13";"13";"2";"1";"0";"1";"1"
"14";"14";"2";"1";"0";"2";"1"
"15";"15";"2";"1";"0";"0";"1"
"16";"16";"2";"1";"0";"0";"2"
"17";"17";"1";"1";"1";"0";"0"
"18";"18";"1";"1";"0";"0";"0"
"19";"19";"2";"1";"1";"0";"0"
"20";"20";"2";"1";"0";"0";"0"
"21";"21";"0";"1";"1";"1";"1"
"22";"22";"0";"1";"1";"2";"1"
"23";"23";"0";"1";"1";"0";"1"
"24";"24";"0";"1";"1";"0";"2"
"25";"25";"0";"1";"0";"1";"1"
"26";"26";"0";"1";"0";"2";"1"
"27";"27";"0";"1";"0";"0";"1"
"28";"28";"0";"1";"0";"0";"2"
"39";"29";"0";"1";"1";"0";"0"
"40";"30";"0";"1";"0";"0";"0"
"29";"31";"0";"0";"1";"1";"1"
"30";"32";"0";"0";"0";"1";"1"
"31";"33";"0";"0";"1";"2";"1"
"32";"34";"0";"0";"0";"2";"1"
"33";"35";"0";"0";"1";"0";"1"
"34";"36";"0";"0";"0";"0";"1"
"35";"37";"0";"0";"1";"0";"2"
"36";"38";"0";"0";"0";"0";"2"
"37";"39";"0";"0";"1";"0";"0"
"38";"40";"0";"0";"0";"0";"0"
