id;created_at;updated_at;relation_id;related_question_id;related_answer_id;visible_if_true;before;operator_several_conditions;answer_id;operator;answer_content;after;position;next_question_id_if_false
1;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";"";6;<;1;"";1;
2;2020-07-17 11:54:29;2020-07-17 11:54:29;2;;70;1;"";"";46;<;1;"";1;
3;2020-07-17 11:54:29;2020-07-17 11:54:29;2;;70;1;"";AND;47;<;1;"";2;
4;2020-07-17 11:54:29;2020-07-17 11:54:29;3;;72;1;"";"";47;=;1;"";;
5;2020-07-17 11:54:29;2020-07-17 11:54:29;4;;73;1;"";"";47;=;1;"";;
6;2020-07-17 11:54:29;2020-07-17 11:54:29;5;;74;1;"";"";46;=;1;"";;
7;2020-07-17 11:54:29;2020-07-17 11:54:29;6;19;;1;"";"";139;>;0;"";1;23
8;2020-07-17 11:54:29;2020-07-17 11:54:29;7;23;;1;(;"";139;>;0;"";1;25
9;2020-07-17 11:54:29;2020-07-31 11:44:14;7;23;;1;"";AND;5;=;0;);9;25
10;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;(;"";140;>;0;"";1;27
11;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;"";OR;141;>;0;);2;27
12;2020-07-17 11:54:29;2020-07-17 11:54:29;8;25;;1;"";OR;5;=;1;);6;27
13;2020-07-17 11:54:29;2020-07-17 11:54:29;9;27;;1;"";AND;142;>;0;"";1;29
14;2020-07-17 11:54:29;2020-07-17 11:54:29;9;27;;1;(;"";2;=;1;"";2;29
15;2020-07-17 11:54:29;2020-07-17 11:54:29;10;28;;1;"";"";163;=;1;"";;29
16;2020-07-17 11:54:29;2020-07-17 11:54:29;11;37;;1;"";"";207;=;1;"";;38
17;2020-07-17 11:54:29;2020-07-17 11:54:29;12;40;;1;"";"";211;>;2;"";;41
18;2020-07-17 11:54:29;2020-07-17 11:54:29;13;42;;1;"";"";215;>;2;"";;43
19;2020-07-17 11:54:29;2020-07-17 11:54:29;14;46;;1;"";"";221;>;2;"";;
20;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;7;<;1;"";2;
21;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;8;<;1;"";3;
22;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;9;<;1;"";4;
23;2020-07-17 11:54:29;2020-07-17 11:54:29;1;;48;1;"";AND;10;<;1;"";5;
24;2020-07-17 11:54:29;2020-07-17 11:54:29;6;19;;1;"";OR;140;>;0;"";2;23
25;2020-07-17 11:54:29;2020-07-17 11:54:29;6;19;;1;"";OR;141;>;0;"";3;23
26;2020-07-17 11:54:29;2020-07-17 11:54:29;6;19;;1;"";OR;142;>;0;"";4;23
27;2020-07-17 11:54:29;2020-07-17 11:54:29;6;19;;1;"";OR;143;>;0;"";5;23
28;2020-07-17 11:54:29;2020-07-17 11:54:29;7;23;;1;"";OR;140;>;0;"";2;25
29;2020-07-17 11:54:29;2020-07-17 11:54:29;7;23;;1;"";OR;141;>;0;"";3;25
30;2020-07-17 11:54:29;2020-07-17 11:54:29;7;23;;1;"";OR;142;>;0;"";4;25
31;2020-07-17 11:54:29;2020-07-17 11:54:29;7;23;;1;"";OR;143;>;0;);5;25
32;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";"";7;=;1;"";;
33;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;8;=;1;"";;
34;2020-07-17 11:54:29;2020-07-17 11:54:29;15;;46;1;"";OR;9;=;1;"";;
