id;created_at;updated_at;question_id;step_no;content_before;content_after
1;2020-07-15 14:42:09;2020-08-07 10:49:57;47;1;<h2>Anmoderation</h2>;
2;2020-07-15 14:42:09;2020-08-07 10:49:57;1;2;<h2>Der von mir betrauerte Mensch</h2>;
3;2020-07-15 14:42:09;2020-07-15 14:42:09;2;2;;
4;2020-07-15 14:42:09;2020-08-07 10:49:57;3;3;<h2>Der von mir betrauerte Mensch</h2>;
5;2020-07-15 14:42:09;2020-07-15 14:42:09;4;3;;
6;2020-07-15 14:42:09;2020-08-07 10:49:57;5;4;<h2>Der von mir betrauerte Mensch</h2>;
7;2020-07-15 14:42:09;2020-07-15 14:42:09;6;4;;
8;2020-07-15 14:42:09;2020-08-07 10:49:57;48;5;<h2>Zwischenmoderation</h2>;
9;2020-07-15 14:42:09;2020-07-15 14:42:09;7;6;<h2>Zu meiner Person</h2>;
10;2020-07-15 14:42:09;2020-07-15 14:42:09;8;6;;
11;2020-07-15 14:42:09;2020-07-15 14:42:09;9;6;;
12;2020-07-15 14:42:09;2020-07-15 14:42:09;10;6;;
13;2020-07-15 14:42:09;2020-07-15 14:42:09;11;7;<h2>Zu meiner Person</h2>;
14;2020-07-15 14:42:09;2020-07-15 14:42:09;12;7;;
15;2020-07-15 14:42:09;2020-07-15 14:42:09;13;7;;
16;2020-07-15 14:42:09;2020-07-15 14:42:09;14;7;;
17;2020-07-15 14:42:09;2020-07-15 14:42:09;19;8;<h2>Zu meiner Person</h2>;
18;2020-07-15 14:42:09;2020-07-15 14:42:09;23;8;;
19;2020-07-15 14:42:09;2020-07-15 14:42:09;25;8;;
20;2020-07-15 14:42:09;2020-07-15 14:42:09;27;9;<h2>Zu meiner Person</h2>;
21;2020-07-15 14:42:09;2020-07-15 14:42:09;28;10;<h2>Zu meiner Person</h2>;
22;2020-07-15 14:42:09;2020-07-15 14:42:09;29;11;<h2>Zu meiner Person</h2>;
23;2020-07-15 14:42:09;2020-07-15 14:42:09;30;11;;
24;2020-07-15 14:42:09;2020-07-15 14:42:09;31;11;;
25;2020-07-15 14:42:09;2020-07-15 14:42:09;32;12;<h2>Zu meiner Person</h2>;
26;2020-07-15 14:42:09;2020-07-15 14:42:09;33;12;;
27;2020-07-15 14:42:09;2020-08-07 10:49:57;49;13;;
28;2020-07-15 14:42:09;2020-07-15 14:42:09;34;14;<h2>Näheres zum Trauerfall</h2>;
29;2020-07-15 14:42:09;2020-07-15 14:42:09;35;14;;
30;2020-07-15 14:42:09;2020-07-15 14:42:09;36;14;;
31;2020-07-15 14:42:09;2020-07-15 14:42:09;37;15;<h2>Näheres zum Trauerfall</h2>;
32;2020-07-15 14:42:09;2020-07-15 14:42:09;38;16;<h2>Näheres zum Trauerfall</h2>;
33;2020-07-15 14:42:09;2020-07-15 14:42:09;39;16;;
34;2020-07-15 14:42:09;2020-07-15 14:42:09;40;17;<h2>Näheres zum Trauerfall</h2>;
35;2020-07-15 14:42:09;2020-07-15 14:42:09;41;18;<h2>Näheres zum Trauerfall</h2>;
36;2020-07-15 14:42:09;2020-07-15 14:42:09;42;19;<h2>Näheres zum Trauerfall</h2>;
37;2020-07-15 14:42:09;2020-07-15 14:42:09;43;20;<h2>Ich und der verstorbene Mensch</h2>;
38;2020-07-15 14:42:09;2020-07-15 14:42:09;44;20;;
39;2020-07-15 14:42:09;2020-07-15 14:42:09;45;21;<h2>Ich und der verstorbene Mensch</h2>;
40;2020-07-15 14:42:09;2020-07-15 14:42:09;46;22;<h2>Ich und der verstorbene Mensch</h2>;
